timestamp,src_ip,dst_ip,protocol,length
2025-10-24 17:29:30.168230,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:29:30.801750,192.168.29.39,224.0.0.251,17,103
2025-10-24 17:29:31.207040,192.168.29.50,224.0.0.251,17,87
2025-10-24 17:29:31.517225,192.168.29.50,239.255.255.250,17,167
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,167
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:31.645431,192.168.29.181,104.208.16.92,6,529
2025-10-24 17:29:31.908136,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:31.912893,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:31.912893,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:31.915039,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:31.944740,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:29:31.993016,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:29:33.010657,192.168.29.50,224.0.0.251,17,87
2025-10-24 17:29:33.437961,192.168.29.50,239.255.255.250,17,167
2025-10-24 17:29:33.697068,192.168.29.181,104.208.16.92,6,167
2025-10-24 17:29:33.697068,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:33.697068,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:33.697068,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:33.697068,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:33.704675,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:33.705045,192.168.29.181,104.208.16.92,6,1304
2025-10-24 17:29:33.961789,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:34.026771,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:29:34.028216,192.168.29.181,104.208.16.92,6,89
2025-10-24 17:29:34.418005,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:35.075102,192.168.29.50,224.0.0.251,17,87
2025-10-24 17:29:35.809666,192.168.29.1,224.0.0.1,2,50
2025-10-24 17:29:35.831408,192.168.29.50,239.255.255.250,17,167
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,167
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:35.879524,192.168.29.181,104.208.16.92,6,1304
2025-10-24 17:29:36.453185,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:36.453185,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:36.453185,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:36.453185,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:29:36.499636,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:29:37.497372,192.168.29.50,239.255.255.250,17,167
2025-10-24 17:29:37.556567,192.168.29.231,224.0.0.251,17,100
2025-10-24 17:29:37.934759,192.168.29.181,104.208.16.92,6,167
2025-10-24 17:29:37.938031,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:37.938031,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:37.940039,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:37.940039,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:37.942045,192.168.29.181,104.208.16.92,6,639
2025-10-24 17:29:38.481833,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:38.484271,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:38.484271,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:38.486279,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:29:38.523400,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:29:38.776859,192.168.29.50,192.168.29.255,17,82
2025-10-24 17:29:39.580215,192.168.29.50,239.255.255.250,17,167
2025-10-24 17:29:39.683449,192.168.29.181,192.168.29.1,17,74
2025-10-24 17:29:39.687747,192.168.29.181,192.168.29.1,17,74
2025-10-24 17:29:39.729599,192.168.29.1,192.168.29.181,17,279
2025-10-24 17:29:39.738522,192.168.29.1,192.168.29.181,17,359
2025-10-24 17:29:39.744334,192.168.29.181,20.190.146.32,6,66
2025-10-24 17:29:39.778187,20.190.146.32,192.168.29.181,6,66
2025-10-24 17:29:39.781981,192.168.29.181,20.190.146.32,6,54
2025-10-24 17:29:39.786115,192.168.29.181,20.190.146.32,6,518
2025-10-24 17:29:39.832328,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:39.834490,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:39.839216,20.190.146.32,192.168.29.181,6,1092
2025-10-24 17:29:39.839216,192.168.29.181,20.190.146.32,6,54
2025-10-24 17:29:39.845728,192.168.29.181,20.190.146.32,6,212
2025-10-24 17:29:39.870160,192.168.29.181,192.168.29.1,17,87
